NAME,lat,lng,index,group
曲靖,25.51995,103.795,154,null
咸阳,34.34795,108.714,155,fen-wei
铜川,34.987,109.00725,156,fen-wei
延安,36.6044,109.46925,157,null
宝鸡,34.354125,107.189875,158,fen-wei
渭南,34.5014,109.48125,159,fen-wei
金昌,38.521567,102.177333,160,null
嘉峪关,39.81745,98.2758,161,null
石嘴山,39.047425,106.54775,162,null
克拉玛依,45.4591,85.09716,163,null
库尔勒,41.7277,86.195467,164,null
寿光,36.8725,118.763,165,null
章丘,36.71,117.541,166,null
即墨,36.415,120.54,167,null
胶南,35.875,120.022,168,null
胶州,36.268,120.011,169,null
莱西,36.875,120.526,170,null
平度,36.7955,119.964,171,null
蓬莱,37.817,120.76,172,null
招远,37.369,120.3965,173,null
莱州,37.1785,119.95,174,null
荣成,37.1575,122.4405,175,null
文登,37.192,122.0285,176,null
乳山,36.91,121.5375,177,null
吴江,31.165667,120.643,178,null
昆山,31.3845,120.976,179,null
常熟,31.665667,120.737667,180,null
张家港,31.878,120.538,181,null
太仓,31.4375,121.1275,182,null
句容,31.955,119.163,183,null
江阴,31.916333,120.269,184,null
宜兴,31.3625,119.806,185,null
金坛,31.744,119.579,186,null
溧阳,31.3585,119.449,187,null
海门,31.896,121.1635,188,null
临安,30.23385,119.706,189,null
富阳,30.0515,119.95,190,null
义乌,29.3195,120.0655,191,null
诸暨,29.7255,120.23,192,null
瓦房店,39.621,122,193,null
信阳,32.13015,114.06125,195,null
周口,33.6215,114.65725,196,null
漳州,24.497233,117.670667,197,null
晋城,35.500583,112.846167,198,jing-jin-ji
朔州,39.34474,112.4312,199,null
晋中,37.6992,112.729,200,fen-wei
运城,35.07002,110.9934,201,fen-wei
忻州,38.454433,112.724667,202,null
吕梁,37.380467,111.359,203,fen-wei
乌海,39.675333,106.808,204,null
通辽,43.6408,122.272333,205,null
呼伦贝尔,49.21375,119.7435,206,null
巴彦淖尔,40.804867,107.462,207,null
乌兰察布,41.01515,113.114,208,null
兴安盟,46.0777,122.019667,209,null
锡林郭勒盟,43.9314,116.091,210,null
阿拉善盟,38.842967,105.699667,211,null
阜新,42.0274,121.6604,212,null
辽阳,41.2534,123.167,213,null
铁岭,42.2764,123.81525,214,null
朝阳,41.585,120.428,215,null
四平,43.172933,124.367667,216,null
辽源,42.895,125.1465,217,null
通化,41.72685,125.9425,218,null
白山,41.93125,126.4065,219,null
松原,45.126,124.841,220,null
白城,45.6232,122.8325,221,null
延边州,42.8925,129.453333,222,null
鸡西,45.2975,130.971,223,null
鹤岗,47.324325,130.2385,224,null
双鸭山,46.6278,131.1595,225,null
伊春,47.973233,129.092333,226,null
佳木斯,46.79774,130.3476,227,null
七台河,45.806,130.937667,228,null
黑河,50.247167,127.471333,229,null
绥化,46.64555,126.9785,230,null
大兴安岭地区,50.4243,124.1245,231,null
蚌埠,32.92925,117.357,232,chang-san-jiao
淮南,32.650967,116.877,233,chang-san-jiao
淮北,33.940267,116.797333,234,chang-san-jiao
铜陵,30.929617,117.809,235,chang-san-jiao
安庆,30.546425,117.0315,236,chang-san-jiao
黄山,29.903033,118.255667,237,chang-san-jiao
滁州,32.3,118.316333,238,chang-san-jiao
阜阳,32.888533,115.817667,239,chang-san-jiao
宿州,33.6357,116.978,240,chang-san-jiao
六安,31.76245,116.51475,241,chang-san-jiao
亳州,33.848,115.795,242,chang-san-jiao
池州,30.652333,117.482667,243,chang-san-jiao
宣城,30.954,118.738,244,chang-san-jiao
莆田,25.43068,119.0426,245,null
三明,26.270475,117.64675,246,null
南平,26.64825,118.156,247,null
龙岩,25.079525,117.02025,248,null
宁德,26.672133,119.519667,249,null
景德镇,29.30422,117.2242,250,null
萍乡,27.60454,113.9022,251,null
新余,27.81016,114.9628,252,null
鹰潭,28.20856,117.0132,253,null
赣州,25.86134,114.9224,254,null
吉安,27.1013,114.98825,255,null
宜春,27.79756,114.3782,256,null
抚州,27.99942,116.3362,257,null
上饶,28.448825,117.95825,258,null
鹤壁,35.794533,114.251333,259,jing-jin-ji
新乡,35.291,113.88225,260,jing-jin-ji
濮阳,35.76605,115.0405,261,jing-jin-ji
许昌,34.0128,113.815,262,null
漯河,33.570325,114.02675,263,null
南阳,32.99454,112.5296,264,null
商丘,34.41665,115.65575,265,null
驻马店,32.9893,114.009,266,null
黄石,30.20574,115.0032,267,null
十堰,32.563675,110.858,268,null
襄阳,32.07015,112.172,269,null
鄂州,30.393033,114.866667,270,null
荆门,31.0284,112.203,271,null
孝感,30.918,113.9285,272,null
黄冈,30.4632,114.8945,273,null
咸宁,29.840425,114.31325,274,null
随州,31.716367,113.379667,275,null
恩施州,30.2904,109.4865,276,null
衡阳,26.900183,112.593333,277,null
