60.125,82.75,28.8333,30.0417,20.875,33.7083
71.5,70.25,33.4167,52.8333,67.375,17.8333
101.833,92.5417,35.5833,61.9167,80.6667,15.0417
87.5,85.625,39.625,74.0833,94.2083,14.2917
103.167,89.6667,43.375,80.5417,115.333,13.7083
124.125,101.25,46.2083,85.375,69.5833,13.25
122.583,95.1667,42.25,81.9167,27.8333,16.5417
194.167,132.458,56.75,96.625,40.5833,16.125
265.958,179.667,54.625,97.625,51.9583,11.3333
146.708,115.833,49.5,79.125,34.375,13.7083
91.4167,89.9583,40.0833,56.375,21.9167,23
71.875,73.9167,41.25,69.125,21.8333,16.9583
102.208,96.2917,45.5833,65.5,26.375,17.5417
81.125,79.25,43.75,65.2083,35.4167,19.2917
86.625,81.7917,43.625,76.7917,40.6667,14.25
79.25,82.9167,33.9167,52.75,27.1667,22.6667
74,103,36.75,54.5833,25.9167,21
116.125,109.375,48.0417,82.75,43.5833,13.3333
129.917,102.583,45.5,81.8333,44.125,18.25
107.75,97,41.5,63.75,33.125,23.4167
107,95,34.5,79.1667,35.9583,16.125
127.75,110.792,37.625,67.3333,34.25,17.7917
67.4583,72.0833,14.4167,36.3333,11.875,21.2083
90.875,70,33.4583,51.5417,34.2917,10.7917
65.3333,79.7917,33.2917,39.5833,21.7083,22.3333
97.2083,100.667,30.9167,56.8333,46.2083,16.2917
106.875,79.8333,24.75,39.4583,38.25,28.4167
141.708,87.75,32.7083,46.2917,45.2083,21.5
196.458,117.917,41.9583,64.5,58.9167,25.2083
167.125,111.167,39.5417,65,60.375,21.625
131.542,88.625,38.625,40.875,44.625,29.3333
77.3333,69.4583,31.4583,60.1667,41.7083,19.5417
93.6667,79.5417,36.5833,56.7917,41.9167,19.3333
80.7917,88.9167,34.4167,27.9167,17.7917,32.8333
89.5417,91.7917,38.5,57.7083,42.5,21.875
134.042,102.625,48.7917,72.7917,53.875,20.875
111.75,93.7083,40.8333,63.0833,50.25,23.6667
101.583,149.917,41.4583,57.2917,50.8333,24.2083
71.5,72.1667,37.0417,51.25,35.0833,23.3333
76.375,79.5417,45.5417,56.25,34.0417,25.1667
129.208,169.375,52.4167,61.4583,41.0417,27.0833
69.1667,79.8333,38.25,29.875,26.625,32.875
70.0417,68.7083,39.875,54.0417,37.0417,22.2917
101.708,86.9167,48.6667,63.1667,46.5,21.6667
156.667,110.458,47.7083,51.75,45.375,28.5417
224.375,133.125,32.4167,42.125,46.4583,25.8333
126.333,91.2083,29.5833,34.4583,34.9583,27.7917
66.4167,81.75,29.3333,29.4167,29.2083,31.4583
84.875,102.458,34.0833,34,31.0833,24.5833
79.0417,90.2083,34.9583,32.3333,28.0833,32.5
73.375,70.75,38.0417,43.1667,34.7917,25.7083
78.4167,94.3333,33.2083,40.5833,27.4583,25.875
90.0833,100.875,43.2083,48.6667,27.9583,23.0833
115.917,89.4583,37.5,42.2083,31.75,27
64.25,69.875,33.9167,32.4583,21.0417,29.4583
61.9167,56.5417,37,48.4583,26.2083,19.75
84.9583,103.083,36.2083,43.9167,26.1667,25.6667
86.6667,137.083,33.75,29.7917,18.7083,33.4167
85.7083,87.5417,37.0417,37.6667,21.75,29.4583
123.833,77.8333,36.8333,45.3333,28.5417,23.375
160.625,97.2083,38.8333,63.9583,38.9583,11.9583
137,89.2083,51.4583,77.6667,51.2917,12.5833
79.6667,71.7083,34.4167,53.2083,31.4167,28.25
71.0417,84.3333,27.625,38.9583,22.9167,27.4167
103.292,90.75,41.6667,61.1667,29.4167,17.9583
97.2083,93.0417,48.25,71.7917,38.5,17.625
79.125,77.3333,43.75,77.4167,37.8333,19.375
53.4167,71.5417,32.875,57.625,24.5417,28.0833
88.2917,142.708,26.9583,36.2917,18.3333,34.1667
104.792,133.083,29.9583,65.625,28.2083,28.125
131.125,109.5,32.5833,73.7083,37.7917,30.0417
59.8333,56.875,24.7917,50.9583,26.0833,30
51.1667,46.5,26.875,47.2917,27,26.2917
61.6667,58.3333,18.2083,50.6667,28.2083,28.625
53.9167,59.375,19.7083,48.0417,26.4167,22.5417
62.0417,58.5,23.6667,58.875,25,22.0833
63.9583,59.2917,22.2917,63.5417,23.4583,19.5
49.3333,52.0833,19.7083,47.4583,19.1667,28.25
49.375,44.5833,12.4167,36.75,15.75,35.0417
53.6667,46,13.7083,44.6667,22.75,18.0417
